Freq[Hz]  Imp[Ohm]  Phase[Deg]
7561.35     19.078    35.765
7671.33     19.193    35.789
7782.91     19.322    35.828
7896.12     19.463    35.862
8010.97     19.613    35.880
8127.49     19.771    35.864
8245.71     19.927    35.812
8365.65     20.070    35.740
8487.33     20.205    35.662
8610.78     20.329    35.587
8736.03     20.440    35.538
8863.09     20.549    35.527
8992.01     20.665    35.555
9122.80     20.801    35.607
9255.50     20.959    35.646
9390.12     21.127    35.650
9526.70     21.297    35.622
9665.27     21.464    35.564
9805.86     21.623    35.489
9948.49     21.779    35.407
10093.2     21.928    35.318
10240.0     22.070    35.233
10388.9     22.210    35.158
10540.1     22.350    35.092
10693.4     22.493    35.031
10848.9     22.643    34.965
11006.7     22.790    34.888
11166.8     22.931    34.812
11329.2     23.071    34.742
11494.0     23.211    34.682
11661.2     23.358    34.628
11830.8     23.514    34.564
12002.9     23.673    34.478
12177.5     23.822    34.374
12354.6     23.959    34.273
12534.3     24.094    34.180
12716.6     24.217    34.109
12901.6     24.351    34.065
13089.2     24.499    34.022
13279.6     24.654    33.971
13472.8     24.824    33.892
13668.8     24.981    33.779
13867.6     25.121    33.657
14069.3     25.248    33.542
14273.9     25.349    33.465
14481.5     25.464    33.443
14692.2     25.601    33.443
14905.9     25.757    33.446
15122.7     25.943    33.419
15342.7     26.129    33.338
15565.8     26.299    33.222
15792.2     26.453    33.090
16021.9     26.577    32.970
16255.0     26.688    32.901
16491.4     26.811    32.882
16731.3     26.961    32.888
16974.7     27.142    32.887
17221.6     27.347    32.842
17472.1     27.554    32.740
17726.2     27.742    32.595
17984.0     27.907    32.439
18245.6     28.056    32.295
18511.0     28.203    32.168
18780.2     28.357    32.047
19053.4     28.515    31.915
19330.5     28.665    31.768
19611.7     28.801    31.616
19897.0     28.923    31.474
20186.4     29.034    31.354
20480.0     29.145    31.260
20777.9     29.262    31.187
21080.1     29.387    31.124
21386.7     29.522    31.063
21697.8     29.659    30.998
22013.4     29.799    30.929
22333.6     29.938    30.858
22658.4     30.078    30.786
22988.0     30.217    30.714
23322.4     30.357    30.643
23661.6     30.496    30.571
24005.8     30.636    30.500
24355.0     30.776    30.430
24709.2     30.915    30.360
25068.6     31.055    30.291
25433.2     31.194    30.223
25803.2     31.334    30.156
