Freq[Hz]     dBSPL  Phase[Deg]
2031.87     90.107    44.789
2061.43     90.127    44.777
2091.41     90.146    44.624
2121.83     90.145    44.399
2152.69     90.129    44.178
2184.01     90.097    44.020
2215.77     90.059    43.975
2248.00     90.026    44.037
2280.70     89.995    44.225
2313.87     89.988    44.517
2347.53     90.003    44.847
2381.68     90.041    45.187
2416.32     90.116    45.436
2451.46     90.192    45.537
2487.12     90.265    45.546
2523.30     90.342    45.444
2560.00     90.395    45.257
2597.24     90.430    45.077
2635.01     90.449    44.939
2673.34     90.448    44.910
2712.23     90.438    45.060
2751.68     90.432    45.425
2791.70     90.447    46.015
2832.31     90.507    46.768
2873.50     90.618    47.573
2915.30     90.781    48.339
2957.70     91.000    48.939
3000.72     91.252    49.271
3044.37     91.518    49.320
3088.65     91.791    49.092
3133.58     92.058    48.617
3179.16     92.325    47.918
3225.40     92.592    46.963
3272.31     92.846    45.725
3319.91     93.080    44.172
3368.20     93.268    42.314
3417.19     93.388    40.271
3466.89     93.444    38.175
3517.32     93.435    36.145
3568.48     93.374    34.270
3620.39     93.268    32.590
3673.05     93.116    31.171
3726.47     92.929    30.107
3780.67     92.720    29.468
3835.67     92.509    29.305
3891.46     92.334    29.590
3948.06     92.219    30.201
4005.49     92.180    30.975
4063.75     92.214    31.739
4122.86     92.308    32.366
4182.82     92.449    32.768
4243.66     92.621    32.875
4305.39     92.802    32.677
4368.01     92.983    32.175
4431.55     93.147    31.390
4496.01     93.281    30.390
4561.40     93.387    29.230
4627.75     93.456    27.953
4695.06     93.479    26.645
4763.35     93.463    25.393
4832.64     93.410    24.274
4902.93     93.327    23.383
4974.24     93.241    22.761
5046.60     93.172    22.363
5120.00     93.140    22.089
5194.47     93.147    21.791
5270.03     93.176    21.366
5346.68     93.213    20.773
5424.45     93.244    20.008
5503.35     93.256    19.103
5583.40     93.247    18.088
5664.61     93.205    16.993
5747.01     93.120    15.901
5830.60     92.990    14.924
5915.41     92.822    14.170
6001.45     92.631    13.720
6088.74     92.442    13.591
6177.30     92.274    13.727
6267.15     92.138    14.041
6358.31     92.032    14.460
6450.80     91.955    14.925
6544.62     91.900    15.402
6639.82     91.868    15.877
6736.40     91.857    16.318
6834.38     91.859    16.714
6933.79     91.879    17.057
7034.64     91.913    17.318
7136.96     91.954    17.486
7240.77     92.001    17.563
7346.09     92.052    17.544
7452.94     92.102    17.425
7561.35     92.151    17.203
7671.33     92.195    16.871
7782.91     92.227    16.430
7896.12     92.239    15.897
8010.97     92.228    15.306
8127.49     92.183    14.723
8245.71     92.109    14.234
8365.65     92.019    13.872
8487.33     91.908    13.680
8610.78     91.794    13.708
8736.03     91.696    13.926
8863.09     91.613    14.293
8992.01     91.562    14.768
9122.80     91.549    15.250
9255.50     91.564    15.653
9390.12     91.597    15.928
9526.70     91.633    16.072
9665.27     91.667    16.120
9805.86     91.701    16.089
9948.49     91.732    15.990
10093.2     91.767    15.807
10240.0     91.798    15.502
10388.9     91.814    15.075
10540.1     91.803    14.582
10693.4     91.765    14.111
10848.9     91.713    13.698
11006.7     91.654    13.337
11166.8     91.594    13.001
11329.2     91.531    12.637
11494.0     91.445    12.268
11661.2     91.343    11.951
11830.8     91.223    11.713
12002.9     91.090    11.592
12177.5     90.958    11.582
12354.6     90.825    11.656
12534.3     90.689    11.808
12716.6     90.548    12.074
12901.6     90.416    12.459
13089.2     90.303    12.898
13279.6     90.200    13.342
13472.8     90.109    13.751
13668.8     90.014    14.115
13867.6     89.910    14.472
14069.3     89.802    14.836
14273.9     89.686    15.201
14481.5     89.561    15.567
14692.2     89.418    15.969
14905.9     89.261    16.433
15122.7     89.079    17.003
15342.7     88.880    17.754
15565.8     88.681    18.674
15792.2     88.469    19.772
16021.9     88.250    21.123
16255.0     88.039    22.755
16491.4     87.843    24.669
16731.3     87.687    26.826
16974.7     87.576    29.128
17221.6     87.508    31.500
17472.1     87.474    33.901
17726.2     87.466    36.347
17984.0     87.491    38.865
18245.6     87.567    41.407
18511.0     87.692    43.874
18780.2     87.856    46.219
19053.4     88.058    48.392
19330.5     88.283    50.359
19611.7     88.525    52.144
19897.0     88.794    53.726
20186.4     89.077    55.045
20480.0     89.360    56.085
20777.9     89.631    56.865
21080.1     89.878    57.443
21386.7     90.104    57.887
21697.8     90.307    58.246
22013.4     90.495    58.549
22333.6     90.670    58.794
22658.4     90.828    58.988
22988.0     90.974    59.137
23322.4     91.102    59.238
23661.6     91.205    59.326
24005.8     91.289    59.431
24355.0     91.347    59.589
24709.2     91.386    59.856
25068.6     91.415    60.253
25433.2     91.439    60.778
25803.2     91.464    61.422
26178.5     91.493    62.169
26559.3     91.525    63.013
26945.6     91.560    63.972
27337.5     91.612    65.033
27735.2     91.685    66.138
28138.6     91.770    67.254
28547.9     91.865    68.370
28963.1     91.968    69.470
29384.4     92.067    70.588
29811.8     92.166    71.782
30245.4     92.278    73.067
30685.3     92.409    74.432
31131.7     92.569    75.834
31584.5     92.756    77.212
32043.9     92.966    78.537
32510.0     93.201    79.764
32982.8     93.450    80.864
33462.6     93.710    81.832
33949.3     93.975    82.645
34443.1     94.226    83.337
34944.1     94.466    83.990
35452.4     94.702    84.654
35968.0     94.944    85.359
36491.2     95.211    86.080
37022.0     95.508    86.735
37560.5     95.834    87.227
38106.8     96.150    87.502
38661.1     96.441    87.546
39223.4     96.660    87.499
39793.9     96.833    87.396
