Freq[Hz]  Imp[Ohm]  Phase[Deg]
3368.20      6.068    -9.012
3417.19      6.065    -8.737
3466.89      6.065    -8.504
3517.32      6.065    -8.320
3568.48      6.062    -8.180
3620.39      6.056    -8.080
3673.05      6.040    -7.990
3726.47      6.017    -7.871
3780.67      5.992    -7.714
3835.67      5.963    -7.515
3891.46      5.931    -7.253
3948.06      5.902    -6.927
4005.49      5.876    -6.555
4063.75      5.854    -6.141
4122.86      5.838    -5.690
4182.82      5.831    -5.244
4243.66      5.828    -4.827
4305.39      5.828    -4.442
4368.01      5.828    -4.081
4431.55      5.828    -3.736
4496.01      5.828    -3.400
4561.40      5.828    -3.071
4627.75      5.828    -2.745
4695.06      5.828    -2.420
4763.35      5.828    -2.095
4832.64      5.828    -1.765
4902.93      5.828    -1.427
4974.24      5.828    -1.073
5046.60      5.830    -0.696
5120.00      5.835    -0.297
5194.47      5.848     0.107
5270.03      5.868     0.472
5346.68      5.890     0.777
5424.45      5.913     1.019
5503.35      5.931     1.210
5583.40      5.942     1.393
5664.61      5.949     1.610
5747.01      5.956     1.871
5830.60      5.972     2.145
5915.41      5.995     2.378
6001.45      6.017     2.553
6088.74      6.040     2.668
6177.30      6.056     2.731
6267.15      6.062     2.791
6358.31      6.065     2.877
6450.80      6.065     2.992
6544.62      6.065     3.132
6639.82      6.065     3.290
6736.40      6.065     3.460
6834.38      6.065     3.644
6933.79      6.065     3.839
7034.64      6.065     4.048
7136.96      6.065     4.273
7240.77      6.065     4.524
7346.09      6.068     4.802
7452.94      6.074     5.105
7561.35      6.090     5.404
7671.33      6.113     5.650
7782.91      6.136     5.835
7896.12      6.158     5.957
8010.97      6.174     6.027
8127.49      6.181     6.093
8245.71      6.183     6.185
8365.65      6.183     6.307
8487.33      6.183     6.455
8610.78      6.183     6.622
8736.03      6.183     6.805
8863.09      6.183     7.005
8992.01      6.183     7.224
9122.80      6.183     7.470
9255.50      6.186     7.746
9390.12      6.193     8.049
9526.70      6.209     8.349
9665.27      6.231     8.600
9805.86      6.254     8.793
9948.49      6.276     8.928
10093.2      6.293     9.014
10240.0      6.299     9.100
10388.9      6.302     9.215
10540.1      6.302     9.363
10693.4      6.302     9.544
10848.9      6.302     9.751
11006.7      6.302     9.989
11166.8      6.304    10.260
11329.2      6.309    10.563
11494.0      6.321    10.879
11661.2      6.341    11.170
11830.8      6.364    11.412
12002.9      6.386    11.604
12177.5      6.405    11.752
12354.6      6.415    11.892
12534.3      6.419    12.063
12716.6      6.420    12.285
12901.6      6.421    12.575
13089.2      6.427    12.930
13279.6      6.441    13.336
13472.8      6.474    13.736
13668.8      6.519    14.042
13867.6      6.565    14.242
14069.3      6.609    14.339
14273.9      6.639    14.364
14481.5      6.654    14.408
14692.2      6.666    14.519
14905.9      6.682    14.675
15122.7      6.705    14.827
15342.7      6.727    14.951
15565.8      6.750    15.041
15792.2      6.766    15.104
16021.9      6.772    15.185
16255.0      6.775    15.317
16491.4      6.777    15.506
16731.3      6.783    15.748
16974.7      6.796    16.015
17221.6      6.817    16.266
17472.1      6.840    16.484
17726.2      6.863    16.671
17984.0      6.881    16.841
18245.6      6.893    17.030
18511.0      6.906    17.261
18780.2      6.924    17.516
19053.4      6.946    17.762
19330.5      6.969    17.994
19611.7      6.990    18.224
19897.0      7.010    18.471
20186.4      7.028    18.770
20480.0      7.062    19.092
20777.9      7.107    19.356
21080.1      7.153    19.547
21386.7      7.198    19.666
21697.8      7.234    19.728
22013.4      7.255    19.810
22333.6      7.278    19.936
22658.4      7.300    20.079
22988.0      7.323    20.236
23322.4      7.347    20.395
23661.6      7.368    20.565
24005.8      7.390    20.758
24355.0      7.415    20.962
24709.2      7.440    21.173
25068.6      7.469    21.387
25433.2      7.501    21.585
25803.2      7.530    21.769
26178.5      7.557    21.963
26559.3      7.585    22.169
26945.6      7.613    22.384
27337.5      7.640    22.619
27735.2      7.670    22.884
28138.6      7.703    23.175
28547.9      7.750    23.460
28963.1      7.803    23.695
29384.4      7.854    23.885
29811.8      7.905    24.041
30245.4      7.952    24.167
30685.3      7.991    24.296
31131.7      8.027    24.459
31584.5      8.067    24.656
32043.9      8.114    24.856
32510.0      8.160    25.063
32982.8      8.219    25.258
33462.6      8.282    25.394
33949.3      8.338    25.494
34443.1      8.395    25.575
34944.1      8.448    25.629
35452.4      8.490    25.702
35968.0      8.537    25.806
36491.2      8.586    25.911
37022.0      8.639    26.011
37560.5      8.693    26.094
38106.8      8.737    26.166
38661.1      8.778    26.244
39223.4      8.811    26.302
39793.9      8.829    26.359
